Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI
Marcus Semien,TEX,2B,33,162,670,122,185,40,4,29,100
Julio Rodriguez,SEA,OF,23,155,654,102,180,37,2,32,103
Ronald Acuna,ATL,OF,26,159,643,149,217,35,4,41,106
Bobby Witt,KC,SS,23,158,641,97,177,28,11,30,96
Trea Turner,PHI,SS,30,155,639,102,170,35,5,26,76
Steven Kwan,CLE,OF,26,158,638,93,171,36,7,5,54
Freddie Freeman,LAD,1B,34,161,637,131,211,59,2,29,102
Austin Riley,ATL,3B,27,159,636,117,179,32,3,37,97
Lane Thomas,WAS,OF,28,157,628,101,168,36,3,28,86
Nick Castellanos,PHI,OF,32,157,626,79,170,37,2,29,106
Teoscar Hernandez,SEA,OF,31,160,625,70,161,29,2,26,93
Nathaniel Lowe,TEX,1B,28,161,623,89,163,38,3,17,82
Alex Bregman,HOU,3B,30,161,622,103,163,28,4,25,98
Nico Hoerner,CHC,SS,27,150,619,98,175,27,4,9,68
George Springer,TOR,OF,34,154,613,87,158,25,1,21,72
Jose Ramirez,CLE,3B,31,156,611,87,172,36,5,24,80
Joey Meneses,WAS,DH,32,154,611,71,168,36,1,13,89
Matt Olson,ATL,1B,30,162,608,127,172,27,3,54,139
Spencer Torkelson,DET,1B,24,159,606,88,141,34,1,31,94
Francisco Lindor,NYM,SS,30,160,602,108,153,33,2,31,98
Vladimir Guerrero,TOR,1B,25,156,602,78,159,30,0,26,94
Eugenio Suarez,SEA,3B,32,162,598,68,139,29,0,22,96
Xander Bogaerts,SD,SS,31,155,596,83,170,31,2,19,58
Ozzie Albies,ATL,2B,27,148,596,96,167,30,5,33,109
Gleyber Torres,NYY,2B,27,158,596,90,163,28,2,25,68
Paul Goldschmidt,STL,1B,36,154,593,89,159,31,0,25,80
Brandon Nimmo,NYM,OF,31,152,592,89,162,30,6,24,68
Anthony Santander,BAL,OF,29,153,591,81,152,41,1,28,95
Adley Rutschman,BAL,C,26,154,588,84,163,31,1,20,80
Ty France,SEA,1B,29,158,587,79,147,32,0,12,58
Bryson Stott,PHI,2B,26,151,585,78,164,32,2,15,62
Jeff McNeil,NYM,2B,32,156,585,75,158,25,4,10,55
Kyle Schwarber,PHI,OF,31,160,585,108,115,19,1,47,104
Mookie Betts,LAD,OF,31,152,584,126,179,40,1,39,107
Christian Walker,ARI,1B,33,157,582,86,150,36,2,33,103
Spencer Steer,CIN,3B,26,156,582,74,158,37,3,23,86
Ezequiel Tovar,COL,SS,22,153,581,79,147,37,4,15,73
Rafael Devers,BOS,3B,27,153,580,90,157,34,0,33,100
Ian Happ,CHC,OF,29,158,580,86,144,35,4,21,84
Bryan De La Cruz,MIA,OF,27,153,579,60,149,32,0,19,78
Jeremy Pena,HOU,SS,26,150,577,81,152,32,3,10,52
Fernando Tatis,SD,OF,25,141,575,91,148,33,1,25,78
Luis Arraez,MIA,2B,27,147,574,71,203,30,3,10,69
Bryan Reynolds,PIT,OF,29,145,574,85,151,31,5,24,84
Kyle Tucker,HOU,OF,27,157,574,97,163,37,5,29,112
Bo Bichette,TOR,SS,26,135,571,69,175,30,3,20,73
Ketel Marte,ARI,2B,30,150,569,94,157,26,9,25,82
Juan Soto,SD,OF,25,162,568,97,156,32,1,35,109
